Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
46,Self Enquiry,1,27,Small Business,Female,3,3,Deluxe,4,Married,5,0,3,1,2,Manager,23926,1
31,Company Invited,3,33,Small Business,Fe Male,3,5,Deluxe,5,Unmarried,7,0,2,0,2,Manager,25374,1
36,Company Invited,1,9,Salaried,Female,4,4,Deluxe,5,Married,4,0,4,0,1,Manager,23771,0
32,Self Enquiry,1,11,Salaried,Female,3,4,Deluxe,4,Married,4,0,3,1,0,Manager,20878,0
29,Company Invited,1,31,Large Business,Male,4,5,Standard,5,Unmarried,3,0,1,1,2,Senior Manager,27400,1
31,Self Enquiry,1,17,Salaried,Male,2,3,Basic,3,Married,4,1,3,0,0,Executive,17356,0
32,Self Enquiry,1,29,Small Business,Male,4,4,Deluxe,3,Divorced,3,1,5,1,1,Manager,24857,1
39,Self Enquiry,1,22,Salaried,Male,4,5,Standard,3,Married,2,1,5,1,2,Senior Manager,30188,0
36,Self Enquiry,1,22,Salaried,Female,2,1,Basic,5,Single,2,0,2,1,0,Executive,17743,1
37,Company Invited,3,15,Salaried,Male,4,5,Standard,5,Unmarried,3,0,1,0,1,Senior Manager,26265,0
44,Company Invited,1,28,Small Business,Male,4,4,Basic,3,Married,2,0,4,1,3,Executive,20936,0
38,Self Enquiry,1,32,Small Business,Female,3,5,Deluxe,3,Married,2,0,3,1,1,Manager,24409,0
34,Company Invited,3,12,Small Business,Female,2,5,Basic,3,Married,1,0,4,0,1,Executive,17351,1
35,Self Enquiry,3,10,Salaried,Male,3,6,Deluxe,5,Unmarried,5,0,5,1,2,Manager,23437,0
58,Self Enquiry,1,29,Salaried,Male,2,3,Basic,3,Married,2,0,3,1,1,Executive,17372,0
22,Self Enquiry,3,19,Salaried,Female,3,3,Basic,4,Unmarried,3,0,5,0,2,Executive,21394,1
40,Self Enquiry,2,24,Salaried,Male,2,1,Basic,5,Married,1,0,1,1,1,Executive,17387,1
33,Company Invited,3,23,Salaried,Male,2,3,Super Deluxe,3,Single,2,0,3,1,1,AVP,32444,0
34,Self Enquiry,3,12,Small Business,Female,3,4,Basic,3,Unmarried,3,1,2,1,1,Executive,21529,1
43,Company Invited,1,35,Large Business,Female,3,5,Deluxe,3,Married,2,0,3,0,2,Manager,23201,0
32,Self Enquiry,3,8,Small Business,Male,2,4,Deluxe,4,Unmarried,1,1,1,1,0,Manager,24907,1
51,Company Invited,1,14,Salaried,Male,2,5,Standard,3,Unmarried,3,0,1,1,0,Senior Manager,25650,1
33,Self Enquiry,1,16,Small Business,Female,3,4,Basic,5,Unmarried,2,0,4,1,1,Executive,22878,1
53,Self Enquiry,1,15,Small Business,Male,3,5,Deluxe,4,Divorced,4,0,2,1,2,Manager,23619,1
46,Self Enquiry,1,6,Small Business,Male,3,3,Standard,5,Married,1,0,1,0,2,Senior Manager,24396,0
33,Company Invited,1,12,Large Business,Male,4,4,Basic,4,Unmarried,4,0,3,1,2,Executive,21396,0
46,Self Enquiry,1,27,Small Business,Female,3,3,Deluxe,4,Married,5,0,3,1,2,Manager,23926,1
27,Self Enquiry,1,14,Salaried,Male,4,2,Basic,5,Unmarried,2,0,1,1,1,Executive,22256,0
45,Self Enquiry,1,8,Salaried,Female,3,4,Basic,3,Single,2,0,3,1,0,Executive,17274,0
49,Self Enquiry,3,17,Small Business,Female,2,3,Standard,3,Divorced,2,0,4,0,1,Senior Manager,22654,1
38,Self Enquiry,1,18,Small Business,Female,4,6,Deluxe,4,Married,7,0,4,1,1,Manager,23455,1
28,Company Invited,1,6,Salaried,Female,2,5,Deluxe,3,Divorced,1,0,3,1,0,Manager,21674,0
32,Company Invited,1,22,Small Business,Male,4,4,Basic,3,Married,3,0,4,1,1,Executive,21288,1
55,Company Invited,1,24,Small Business,Male,3,3,Deluxe,4,Divorced,4,1,5,1,2,Manager,21385,0
33,Self Enquiry,1,6,Salaried,Male,3,3,Basic,3,Single,2,1,3,1,0,Executive,17686,1
51,Self Enquiry,1,10,Salaried,Male,2,3,Basic,3,Divorced,1,1,2,1,1,Executive,17461,1
36,Self Enquiry,1,30,Salaried,Male,3,5,Deluxe,3,Married,5,1,4,1,1,Manager,24594,1
37,Self Enquiry,1,16,Small Business,Male,4,5,Basic,3,Married,2,1,1,1,3,Executive,22066,1
21,Self Enquiry,1,24,Salaried,Female,3,3,Basic,3,Single,2,0,3,1,2,Executive,17693,1
35,Self Enquiry,1,16,Small Business,Fe Male,3,5,Standard,4,Unmarried,3,0,1,1,1,Senior Manager,27299,0
46,Self Enquiry,3,9,Small Business,Male,2,3,Super Deluxe,3,Married,4,0,1,1,0,AVP,32465,0
29,Self Enquiry,1,9,Small Business,Male,3,6,Basic,3,Married,7,1,3,1,2,Executive,22142,1
58,Self Enquiry,3,16,Small Business,Male,2,3,Super Deluxe,3,Single,1,0,3,0,1,AVP,28872,0
38,Self Enquiry,3,23,Small Business,Male,4,5,Deluxe,3,Married,6,0,5,1,1,Manager,25012,0
38,Self Enquiry,3,9,Salaried,Male,2,3,Deluxe,3,Unmarried,1,1,3,1,0,Manager,21861,0
37,Self Enquiry,3,9,Small Business,Male,4,5,Standard,3,Divorced,3,0,2,1,1,Senior Manager,26274,0
32,Self Enquiry,3,16,Small Business,Male,2,3,Deluxe,3,Single,2,0,4,1,1,Manager,20396,0
46,Self Enquiry,1,28,Small Business,Male,3,3,Deluxe,3,Married,2,1,5,1,2,Manager,33789,1
46,Self Enquiry,1,27,Small Business,Male,4,4,Super Deluxe,3,Divorced,2,1,3,0,1,AVP,32174,0
41,Self Enquiry,1,26,Small Business,Male,2,4,Deluxe,3,Married,2,1,1,1,1,Manager,21419,0
36,Self Enquiry,1,9,Salaried,Female,4,4,Basic,5,Married,3,1,1,1,2,Executive,20752,1
28,Self Enquiry,1,6,Salaried,Female,3,5,Basic,4,Single,1,1,2,1,0,Executive,17216,1
26,Self Enquiry,1,31,Salaried,Male,2,5,Basic,3,Single,2,0,2,1,1,Executive,17293,1
31,Company Invited,3,26,Salaried,Male,3,1,Basic,3,Married,1,0,5,1,0,Executive,17791,0
37,Self Enquiry,1,13,Salaried,Male,3,6,Basic,3,Married,3,0,1,1,1,Executive,21419,0
30,Self Enquiry,1,17,Salaried,Female,4,5,Basic,5,Single,8,1,5,1,2,Executive,21082,1
55,Self Enquiry,1,15,Salaried,Female,3,4,Deluxe,3,Unmarried,2,0,2,1,1,Manager,22458,0
58,Self Enquiry,1,27,Small Business,Female,3,3,Deluxe,4,Married,5,0,3,1,1,Manager,25008,1
33,Self Enquiry,1,8,Salaried,Female,2,3,Basic,5,Married,1,0,3,1,1,Executive,17707,1
26,Self Enquiry,1,10,Small Business,Male,4,4,Basic,5,Married,7,0,5,1,2,Executive,22709,1
41,Self Enquiry,3,26,Small Business,Female,3,3,Basic,4,Single,2,1,4,0,1,Executive,18140,1
39,Self Enquiry,1,16,Salaried,Male,4,4,Basic,3,Married,4,0,1,1,2,Executive,23449,0
21,Self Enquiry,1,11,Large Business,Male,3,4,Basic,5,Unmarried,3,0,3,1,1,Executive,21651,1
40,Self Enquiry,1,6,Salaried,Male,2,3,Basic,3,Married,1,0,1,0,0,Executive,17406,0
39,Self Enquiry,3,10,Salaried,Female,2,4,Deluxe,3,Divorced,5,0,5,1,0,Manager,20902,0
30,Self Enquiry,1,17,Salaried,Female,4,5,Basic,5,Single,8,1,5,1,1,Executive,21082,1
33,Self Enquiry,1,27,Small Business,Male,3,1,Basic,4,Married,2,0,1,1,1,Executive,17028,0
39,Company Invited,1,16,Salaried,Male,4,4,Deluxe,5,Married,6,0,3,0,3,Manager,25571,1
55,Self Enquiry,3,15,Small Business,Female,2,5,Basic,4,Single,2,0,1,1,1,Executive,34187,1
35,Company Invited,1,9,Salaried,Male,3,5,Deluxe,3,Divorced,3,0,4,0,1,Manager,28225,0
38,Company Invited,1,17,Small Business,Male,4,4,Standard,3,Married,8,0,3,0,3,Senior Manager,28726,1
59,Company Invited,1,20,Salaried,Fe Male,2,3,Standard,3,Unmarried,1,1,5,1,0,Senior Manager,25512,1
56,Self Enquiry,1,29,Salaried,Male,3,3,Super Deluxe,4,Divorced,5,1,4,1,2,AVP,28402,0
25,Self Enquiry,3,32,Small Business,Female,2,3,Deluxe,3,Single,2,0,4,0,0,Manager,21180,0
32,Company Invited,1,10,Small Business,Male,4,4,Standard,3,Married,2,0,4,1,3,Senior Manager,32353,0
44,Company Invited,1,6,Small Business,Male,2,3,Basic,4,Married,2,1,3,1,1,Executive,17342,1
45,Self Enquiry,1,17,Salaried,Male,4,4,Basic,3,Unmarried,3,1,3,1,1,Executive,21614,1
25,Self Enquiry,1,9,Salaried,Male,2,3,Basic,5,Married,5,0,5,1,0,Executive,16118,1
26,Self Enquiry,3,26,Small Business,Male,3,5,Basic,4,Married,3,1,1,0,2,Executive,21091,1
35,Company Invited,1,9,Salaried,Male,3,5,Deluxe,3,Married,3,0,4,0,2,Manager,28225,0
25,Company Invited,3,20,Salaried,Female,4,4,Basic,4,Divorced,3,0,1,0,1,Executive,20711,0
36,Self Enquiry,3,9,Salaried,Male,2,4,Standard,3,Married,2,1,1,1,0,Senior Manager,25325,1
32,Self Enquiry,3,13,Salaried,Male,4,6,Deluxe,3,Divorced,6,1,3,1,2,Manager,24850,1
27,Self Enquiry,1,31,Large Business,Male,4,6,Basic,3,Single,3,1,3,1,3,Executive,21018,1
50,Self Enquiry,3,6,Small Business,Female,3,3,King,3,Married,4,0,2,1,1,VP,34517,0
20,Company Invited,1,17,Small Business,Female,4,5,Basic,4,Single,3,1,5,0,3,Executive,20537,1
32,Company Invited,1,11,Salaried,Female,2,1,Basic,3,Single,4,1,1,0,1,Executive,17432,1
32,Company Invited,3,9,Salaried,Male,3,4,Deluxe,5,Unmarried,2,0,1,0,1,Manager,24010,0
32,Company Invited,1,21,Small Business,Female,2,3,Deluxe,3,Married,6,0,3,0,1,Manager,21667,0
23,Self Enquiry,1,15,Salaried,Male,4,6,Basic,5,Married,3,0,1,0,2,Executive,21129,0
34,Company Invited,2,29,Salaried,Female,2,3,Standard,5,Married,1,1,3,1,0,Senior Manager,24950,1
33,Self Enquiry,3,20,Salaried,Male,4,4,Deluxe,3,Married,4,0,1,0,3,Manager,23081,0
32,Self Enquiry,1,8,Small Business,Male,2,3,Deluxe,4,Married,1,0,4,0,1,Manager,20470,0
36,Company Invited,1,8,Small Business,Male,4,4,Basic,4,Married,3,1,3,1,1,Executive,22927,1
51,Company Invited,1,14,Salaried,Male,2,5,Standard,3,Unmarried,3,0,2,0,1,Senior Manager,25650,1
31,Self Enquiry,3,12,Salaried,Male,3,5,Deluxe,3,Divorced,5,1,3,1,1,Manager,21172,1
42,Self Enquiry,3,11,Small Business,Male,2,3,King,3,Divorced,7,0,4,0,1,VP,33303,0
35,Company Invited,3,11,Small Business,Female,4,4,Deluxe,3,Married,2,0,1,0,1,Manager,25216,0
44,Company Invited,1,24,Large Business,Male,3,5,Basic,3,Married,2,1,5,1,2,Executive,21115,1
31,Self Enquiry,2,16,Salaried,Male,3,4,Deluxe,3,Married,2,1,3,1,2,Manager,25025,0
26,Company Invited,1,9,Large Business,Male,3,3,Basic,5,Single,1,0,3,0,1,Executive,18102,1
19,Self Enquiry,1,10,Salaried,Male,3,4,Basic,3,Single,3,0,4,0,1,Executive,20098,1
35,Self Enquiry,1,7,Salaried,Male,3,5,Basic,3,Divorced,3,1,2,0,1,Executive,22300,0
40,Self Enquiry,3,10,Small Business,Male,3,4,Standard,3,Married,1,0,1,1,1,Senior Manager,25855,0
38,Self Enquiry,1,32,Small Business,Female,3,5,Deluxe,3,Married,2,0,3,0,2,Manager,24409,0
30,Company Invited,1,11,Small Business,Female,2,3,Basic,4,Single,1,0,3,0,0,Executive,17422,1
42,Self Enquiry,3,27,Small Business,Female,4,4,Basic,4,Unmarried,3,1,4,0,2,Executive,21818,1
21,Company Invited,3,15,Small Business,Male,2,3,Basic,3,Single,2,0,4,0,0,Executive,17610,0
29,Self Enquiry,3,29,Salaried,Female,2,4,Standard,5,Divorced,2,0,3,0,0,Senior Manager,22336,1
42,Self Enquiry,1,13,Small Business,Male,4,5,Deluxe,4,Unmarried,8,1,3,1,3,Manager,24710,0
36,Self Enquiry,1,32,Small Business,Female,3,4,Standard,3,Married,3,1,3,0,2,Senior Manager,29066,0
47,Self Enquiry,3,16,Small Business,Male,4,5,Standard,3,Unmarried,3,0,5,1,3,Senior Manager,28297,1
28,Self Enquiry,1,30,Small Business,Male,2,3,Basic,4,Married,2,1,1,0,0,Executive,17408,1
27,Self Enquiry,1,14,Small Business,Female,3,5,Standard,5,Married,2,1,4,1,2,Senior Manager,21553,1
34,Self Enquiry,1,8,Large Business,Female,3,3,Deluxe,3,Unmarried,2,0,5,1,1,Manager,21687,0
27,Self Enquiry,1,12,Salaried,Male,2,4,Basic,3,Married,2,0,1,1,1,Executive,17539,0
26,Self Enquiry,3,11,Small Business,Male,3,5,Deluxe,5,Married,3,0,3,1,2,Manager,22934,0
26,Company Invited,1,11,Small Business,Female,2,4,Basic,3,Divorced,2,1,2,0,1,Executive,17366,1
53,Company Invited,1,32,Small Business,Female,3,5,Super Deluxe,3,Divorced,5,0,5,0,2,AVP,32504,0
41,Self Enquiry,2,25,Salaried,Male,3,2,Basic,5,Married,2,0,1,1,2,Executive,21065,1
42,Self Enquiry,1,8,Salaried,Male,3,4,Deluxe,3,Unmarried,4,0,1,1,0,Manager,21781,0
25,Self Enquiry,1,13,Small Business,Male,3,4,Basic,3,Married,2,0,1,0,2,Executive,17889,0
60,Company Invited,1,21,Salaried,Female,3,4,Standard,3,Single,2,1,5,1,1,Senior Manager,29190,1
43,Self Enquiry,1,12,Salaried,Male,2,4,Super Deluxe,3,Married,5,1,3,1,0,AVP,31627,0
43,Company Invited,3,33,Small Business,Female,4,4,Super Deluxe,4,Divorced,7,0,3,1,3,AVP,32203,0
36,Self Enquiry,1,29,Salaried,Male,3,6,Basic,3,Unmarried,2,0,4,1,1,Executive,22908,0
22,Company Invited,3,25,Small Business,Female,4,4,Deluxe,3,Married,2,1,5,0,2,Manager,21303,1
34,Company Invited,3,8,Small Business,Female,3,3,Basic,3,Divorced,7,0,5,1,2,Executive,17231,0
38,Self Enquiry,1,35,Small Business,Male,3,3,Deluxe,5,Married,1,1,3,1,2,Manager,21673,1
23,Self Enquiry,1,12,Salaried,Male,3,1,Basic,5,Married,2,1,3,0,0,Executive,16601,1
42,Self Enquiry,1,9,Salaried,Female,3,1,Deluxe,3,Divorced,3,1,5,0,0,Manager,20231,0
38,Self Enquiry,3,7,Salaried,Male,3,5,Standard,3,Married,7,0,1,1,2,Senior Manager,29287,1
59,Self Enquiry,2,12,Small Business,Male,2,3,Basic,3,Married,1,0,4,0,0,Executive,17267,0
42,Self Enquiry,1,24,Salaried,Male,2,3,Deluxe,5,Married,7,1,1,0,0,Manager,20410,0
20,Self Enquiry,3,28,Salaried,Male,3,5,Basic,4,Single,3,1,2,0,2,Executive,20799,1
43,Self Enquiry,3,11,Small Business,Male,3,4,Deluxe,5,Unmarried,2,0,5,1,1,Manager,23833,0
59,Company Invited,2,8,Salaried,Female,2,4,King,3,Divorced,1,0,2,1,1,VP,33844,0
32,Self Enquiry,1,15,Salaried,Female,4,4,Deluxe,3,Unmarried,3,0,5,0,2,Manager,23102,0
33,Self Enquiry,1,11,Salaried,Male,2,4,Standard,3,Married,5,0,3,1,1,Senior Manager,22119,0
33,Company Invited,3,9,Salaried,Female,4,4,Basic,5,Married,3,0,3,1,1,Executive,21505,0
55,Self Enquiry,3,9,Salaried,Female,3,5,Standard,3,Divorced,8,0,5,1,1,Senior Manager,29364,0
27,Self Enquiry,1,9,Small Business,Male,2,4,Basic,3,Single,1,0,2,0,0,Executive,17045,0
26,Self Enquiry,3,10,Small Business,Male,2,4,Deluxe,3,Single,2,1,1,1,0,Manager,20828,1
30,Self Enquiry,2,24,Salaried,Male,3,5,Standard,5,Unmarried,3,0,3,0,1,Senior Manager,26666,0
47,Company Invited,3,33,Salaried,Female,3,1,Deluxe,3,Unmarried,5,1,4,0,1,Manager,21397,1
40,Self Enquiry,1,8,Small Business,Female,3,3,Basic,3,Married,3,0,1,1,1,Executive,17001,0
31,Company Invited,1,15,Small Business,Male,2,4,Basic,5,Single,1,1,3,1,0,Executive,17321,1
50,Company Invited,3,6,Salaried,Male,3,3,Deluxe,3,Married,1,0,3,1,1,Manager,21728,1
20,Self Enquiry,1,16,Small Business,Male,2,3,Basic,3,Single,2,1,5,0,0,Executive,16009,1
42,Self Enquiry,3,27,Small Business,Female,4,4,Basic,4,Unmarried,3,1,4,0,3,Executive,21818,1
33,Self Enquiry,1,16,Small Business,Female,3,4,Basic,5,Unmarried,2,0,4,1,2,Executive,22878,1
43,Self Enquiry,3,22,Small Business,Female,3,3,Super Deluxe,3,Married,6,1,3,0,0,AVP,31064,0
23,Company Invited,1,10,Salaried,Male,3,5,Basic,3,Divorced,2,1,3,0,1,Executive,21531,1
28,Self Enquiry,1,13,Salaried,Male,3,5,Basic,3,Married,3,0,1,1,2,Executive,21217,0
29,Company Invited,1,7,Small Business,Male,3,5,Basic,4,Married,3,0,4,1,1,Executive,21274,1
29,Self Enquiry,3,20,Small Business,Fe Male,3,4,Deluxe,3,Unmarried,5,1,5,1,2,Manager,28532,1
43,Company Invited,1,23,Large Business,Male,2,4,Basic,3,Married,1,1,5,1,1,Executive,17437,1
23,Self Enquiry,3,13,Salaried,Male,2,3,Basic,3,Married,2,1,1,1,0,Executive,17275,1
31,Company Invited,1,16,Small Business,Male,3,4,Basic,5,Unmarried,4,1,3,0,2,Executive,23373,1
20,Self Enquiry,1,16,Small Business,Male,2,3,Basic,3,Single,2,1,5,0,0,Executive,16009,1
53,Self Enquiry,1,12,Salaried,Male,2,3,Deluxe,3,Single,3,0,5,1,1,Manager,17450,0
30,Self Enquiry,3,12,Small Business,Male,3,5,Deluxe,4,Married,3,1,5,0,1,Manager,22865,0
45,Company Invited,3,8,Large Business,Male,4,4,Basic,3,Married,5,0,3,1,2,Executive,26656,1
58,Company Invited,1,8,Salaried,Male,2,4,Basic,3,Married,1,1,1,1,0,Executive,17380,1
37,Self Enquiry,1,9,Salaried,Female,4,4,Basic,3,Married,6,0,5,1,1,Executive,21221,0
40,Self Enquiry,3,10,Small Business,Female,3,4,Deluxe,3,Divorced,6,1,4,1,2,Manager,23916,1
37,Self Enquiry,1,12,Salaried,Male,4,4,Deluxe,4,Unmarried,2,0,2,0,3,Manager,24592,0
33,Company Invited,3,28,Small Business,Male,3,3,Deluxe,4,Married,1,0,1,0,0,Manager,21146,0
29,Self Enquiry,3,6,Small Business,Female,2,4,Basic,3,Married,7,1,2,0,1,Executive,17800,1
33,Self Enquiry,3,15,Small Business,Female,3,3,Deluxe,5,Unmarried,1,1,3,0,0,Manager,23224,1
41,Self Enquiry,3,14,Small Business,Male,3,4,Basic,4,Unmarried,3,0,5,0,1,Executive,23339,1
43,Self Enquiry,3,10,Small Business,Fe Male,2,4,Standard,3,Unmarried,4,0,3,1,0,Senior Manager,25231,0
30,Company Invited,3,32,Small Business,Female,2,4,Deluxe,5,Unmarried,6,0,1,1,1,Manager,21696,1
50,Company Invited,3,14,Large Business,Male,2,3,Deluxe,3,Married,4,1,5,0,0,Manager,21796,1
38,Self Enquiry,1,7,Salaried,Female,3,4,Basic,3,Single,3,0,2,1,2,Executive,20793,0
35,Self Enquiry,1,15,Salaried,Male,3,4,Deluxe,4,Unmarried,1,0,1,0,1,Manager,21540,0
35,Self Enquiry,1,33,Salaried,Male,2,3,Deluxe,3,Married,3,0,5,0,1,Manager,21883,0
49,Self Enquiry,1,9,Large Business,Male,4,2,Basic,4,Single,7,0,2,0,3,Executive,21237,0
46,Company Invited,1,24,Small Business,Female,2,3,Standard,3,Divorced,6,0,3,1,0,Senior Manager,25527,0
40,Self Enquiry,3,14,Salaried,Male,4,4,Basic,3,Married,3,1,1,1,3,Executive,23212,1
34,Self Enquiry,1,14,Small Business,Male,3,4,Standard,3,Divorced,2,0,4,0,1,Senior Manager,30369,0
21,Self Enquiry,3,18,Salaried,Female,2,2,Basic,4,Single,2,0,5,0,1,Executive,17716,1
51,Self Enquiry,3,15,Small Business,Male,3,4,Basic,4,Divorced,2,0,2,1,1,Executive,22553,0
47,Company Invited,1,22,Small Business,Male,3,1,Deluxe,3,Married,2,1,1,1,0,Manager,20067,0
33,Company Invited,3,15,Small Business,Fe Male,3,4,Standard,3,Unmarried,3,0,4,1,2,Senior Manager,27676,0
38,Company Invited,1,8,Salaried,Male,2,3,Basic,3,Married,2,1,5,1,0,Executive,16702,0
19,Self Enquiry,3,27,Salaried,Male,2,4,Basic,4,Single,2,1,2,0,1,Executive,17121,1
32,Self Enquiry,1,15,Salaried,Female,4,4,Deluxe,3,Unmarried,3,0,5,1,3,Manager,23102,0
59,Self Enquiry,1,28,Small Business,Female,4,4,Deluxe,4,Married,6,0,3,1,2,Manager,28686,1
42,Self Enquiry,1,15,Small Business,Female,4,4,Basic,5,Married,3,1,3,0,3,Executive,22781,1
34,Self Enquiry,1,16,Salaried,Male,2,3,Basic,4,Married,2,0,2,1,0,Executive,17008,0
32,Self Enquiry,1,6,Salaried,Male,3,3,Basic,5,Single,2,0,2,0,2,Executive,17956,0
34,Self Enquiry,3,27,Salaried,Male,3,2,Deluxe,3,Single,2,0,3,1,0,Manager,20337,0
20,Company Invited,1,12,Salaried,Female,3,4,Basic,3,Single,2,1,2,1,1,Executive,17926,1
29,Self Enquiry,1,6,Large Business,Male,2,3,Basic,3,Single,1,0,2,0,0,Executive,17058,1
31,Self Enquiry,1,29,Small Business,Male,3,4,Deluxe,3,Married,1,0,3,0,1,Manager,20582,0
38,Self Enquiry,1,7,Salaried,Female,4,4,Deluxe,4,Married,8,0,1,1,3,Manager,25125,0
41,Self Enquiry,3,29,Small Business,Male,4,5,Deluxe,3,Divorced,4,1,3,1,2,Manager,25058,1
21,Self Enquiry,3,13,Small Business,Male,2,3,Basic,4,Single,2,0,5,1,1,Executive,17679,1
52,Self Enquiry,1,8,Salaried,Female,2,4,Basic,3,Single,1,0,3,0,0,Executive,18212,0
25,Self Enquiry,3,11,Small Business,Male,2,4,Deluxe,3,Single,2,1,3,0,1,Manager,20744,1
23,Company Invited,3,7,Salaried,Female,2,3,Basic,4,Single,2,1,5,1,1,Executive,16223,1
43,Self Enquiry,1,9,Small Business,Male,4,5,Basic,4,Married,6,0,1,1,3,Executive,23519,0
44,Self Enquiry,3,16,Small Business,Fe Male,3,6,Deluxe,3,Unmarried,2,0,1,0,1,Manager,24024,1
31,Self Enquiry,3,35,Small Business,Female,3,4,Deluxe,3,Married,2,0,3,1,0,Manager,20468,0
39,Self Enquiry,1,12,Small Business,Male,3,3,Basic,5,Married,1,1,1,1,1,Executive,17404,1
47,Company Invited,3,15,Salaried,Male,2,5,Super Deluxe,3,Married,1,0,5,1,1,AVP,27936,1
30,Self Enquiry,3,27,Small Business,Male,3,4,Deluxe,3,Married,4,0,1,1,1,Manager,25609,0
31,Company Invited,3,29,Salaried,Female,4,4,Standard,5,Married,2,0,1,1,2,Senior Manager,27090,0
36,Company Invited,1,14,Salaried,Female,3,2,Standard,5,Divorced,1,0,3,0,0,Senior Manager,26713,0
58,Self Enquiry,1,31,Salaried,Male,3,3,Standard,3,Married,5,1,4,1,2,Senior Manager,28117,0
36,Company Invited,1,30,Salaried,Female,2,3,Deluxe,4,Divorced,1,0,3,0,0,Manager,20674,0
27,Company Invited,3,14,Salaried,Male,2,3,Standard,3,Unmarried,2,0,1,1,0,Senior Manager,23726,0
47,Company Invited,1,14,Small Business,Female,2,4,Deluxe,3,Divorced,4,0,5,0,1,Manager,23936,0
35,Company Invited,3,13,Small Business,Female,3,6,Basic,3,Married,2,0,4,1,2,Executive,21029,1
28,Self Enquiry,1,25,Small Business,Male,3,4,Basic,5,Divorced,2,0,3,1,2,Executive,18196,0
29,Company Invited,1,7,Small Business,Male,3,5,Basic,4,Married,3,0,4,1,1,Executive,21274,1
51,Self Enquiry,1,35,Small Business,Male,4,3,Basic,3,Divorced,3,1,2,1,3,Executive,21899,0
29,Company Invited,1,8,Small Business,Male,2,4,Basic,5,Single,1,0,4,1,1,Executive,18339,1
31,Company Invited,1,11,Small Business,Male,3,3,Deluxe,5,Unmarried,1,0,1,0,2,Manager,24936,0
33,Self Enquiry,1,9,Small Business,Male,3,4,Deluxe,4,Married,6,0,4,1,2,Manager,23561,1
29,Company Invited,1,8,Small Business,Male,2,4,Basic,5,Single,1,0,4,1,1,Executive,18339,1
29,Self Enquiry,1,15,Salaried,Female,4,4,Basic,3,Unmarried,3,0,4,0,2,Executive,21988,0
55,Company Invited,1,8,Small Business,Male,2,4,Super Deluxe,5,Single,1,0,3,1,1,AVP,31756,0
54,Self Enquiry,2,25,Small Business,Male,2,3,Standard,4,Divorced,3,0,3,1,0,Senior Manager,25725,0
52,Company Invited,1,15,Salaried,Male,3,6,Standard,3,Single,4,0,1,1,1,Senior Manager,29328,1
35,Company Invited,1,24,Large Business,Male,3,5,Basic,3,Married,2,1,5,1,2,Executive,27178,1
52,Self Enquiry,3,34,Salaried,Male,3,4,Deluxe,3,Single,3,1,5,1,2,Manager,32704,1
